name,category,description,address,parking,businessHours,businessDays,tel,website,lat,lng,price
うどん 丸香,うどん,コシの強い手打ちうどんが魅力。かけうどんがおすすめ。,東京都新宿区西新宿1-1-1,false,11:00-15:00,月〜土,03-1234-5678,https://example.com/marukou,35.6895,139.7004,800円〜1200円
蕎麦 山月,そば,石臼挽きの蕎麦が自慢。季節の天ぷらも人気。,東京都新宿区神楽坂2-2-2,false,11:00-20:00,火〜日,03-2345-6789,,35.7019,139.7344,1000円〜2000円
中華料理 龍門,中華料理,本格四川料理が味わえる。麻婆豆腐が絶品。,東京都中野区中野3-3-3,false,11:30-22:30,毎日,03-3456-7890,,35.7073,139.6638,900円〜1500円
ラーメン 風雲児,ラーメン,濃厚豚骨スープが特徴。替え玉無料。,東京都品川区五反田4-4-4,false,11:00-翌2:00,毎日,03-4567-8901,,35.6257,139.7234,800円〜1200円
寿司 大和,寿司,新鮮なネタを使用。ランチの握り12貫がおすすめ。,東京都港区六本木5-5-5,true,11:30-14:00/17:00-22:00,月〜土,03-5678-9012,https://example.com/yamato,35.6628,139.7317,2000円〜5000円
イタリアン ベラヴィスタ,イタリアン,本格パスタとピザが楽しめる。テラス席あり。,東京都渋谷区代官山6-6-6,true,11:30-22:00,火〜日,03-6789-0123,https://example.com/bellavista,35.6500,139.7033,1500円〜3000円
カレーハウス マサラ,カレー,20種類のスパイスを使用した本格カレー。,東京都新宿区高田馬場7-7-7,false,11:00-22:00,毎日,03-7890-1234,,35.7121,139.7047,800円〜1500円
焼肉 福楽,焼肉,A5ランク和牛を提供。ランチセットがお得。,東京都世田谷区三軒茶屋8-8-8,true,11:30-23:00,毎日,03-8901-2345,,35.6442,139.6682,3000円〜8000円
天ぷら 天青,和食,季節の野菜を使用した天ぷらが絶品。,東京都千代田区神田9-9-9,false,11:30-14:00/17:00-21:00,月〜土,03-9012-3456,,35.6912,139.7711,2000円〜5000円
タイ料理 バンコク,タイ料理,本場の味を楽しめる。辛さを選べます。,東京都目黒区自由が丘10-10-10,false,11:30-22:30,毎日,03-0123-4567,,35.6077,139.6688,1000円〜2000円
ベトナム料理 サイゴン,ベトナム料理,フォーと生春巻きが人気。,東京都豊島区池袋11-11-11,false,11:00-22:00,毎日,03-1234-5679,,35.7296,139.7111,900円〜1800円
ハンバーガー クラウン,ファストフード,手作りパティのグルメバーガー。,東京都渋谷区原宿12-12-12,false,10:30-21:00,毎日,03-2345-6780,,35.6715,139.7031,1000円〜1500円
フレンチ ルミエール,フレンチ,シェフこだわりのコース料理。,東京都中央区銀座13-13-13,true,11:30-14:00/18:00-22:00,火〜日,03-3456-7891,https://example.com/lumiere,35.6742,139.7686,5000円〜12000円
懐石 花月,和食,季節の懐石料理。完全予約制。,東京都文京区本郷14-14-14,true,12:00-14:00/17:30-21:00,水〜月,03-4567-8902,https://example.com/kagetu,35.7077,139.7597,8000円〜20000円
韓国料理 ソウル,韓国料理,本場の味と雰囲気を楽しめる。,東京都新宿区大久保15-15-15,false,11:30-23:00,毎日,03-5678-9013,,35.7001,139.7000,1000円〜2500円
讃岐うどん 麦香,うどん,讃岐直送の小麦を使用。コシのある麺が特徴。,東京都立川市曙町1-1-1,true,10:30-15:00,月〜土,042-111-2222,,35.6986,139.4137,700円〜1100円
玄そば 遊庵,そば,自家製粉の十割そば。季節限定メニューも充実。,東京都国分寺市本町2-2-2,false,11:00-20:30,水〜月,042-222-3333,,35.7011,139.4803,1200円〜2200円
広東料理 福源楼,中華料理,本格広東料理。飲茶が人気。,東京都町田市原町田3-3-3,true,11:00-22:00,毎日,042-333-4444,https://example.com/fukugen,35.5428,139.4459,1500円〜3000円
博多ラーメン 一双,ラーメン,とんこつスープにこだわり。明太子餃子も人気。,東京都八王子市旭町4-4-4,false,11:00-23:00,毎日,042-444-5555,,35.6585,139.3390,850円〜1300円
江戸前寿司 魚勝,寿司,築地市場から直送の鮮魚を使用。,東京都調布市布田5-5-5,true,11:30-14:00/17:00-22:00,水〜月,042-555-6666,,35.6520,139.5441,2500円〜6000円
トラットリア ソレイユ,イタリアン,南イタリア料理が中心。窯焼きピザが絶品。,東京都武蔵野市吉祥寺本町6-6-6,false,11:30-22:30,毎日,0422-111-2222,https://example.com/soleil,35.7033,139.5798,1800円〜3500円
スパイスカレー 香草,カレー,15種のスパイスをブレンド。日替わりカレーが人気。,東京都三鷹市下連雀7-7-7,false,11:30-21:00,火〜日,0422-222-3333,,35.7035,139.5610,1000円〜1600円
炭火焼肉 慶州,焼肉,希少部位も豊富。韓国惣菜も本格的。,東京都府中市宮町8-8-8,true,17:00-23:00,毎日,042-666-7777,,35.6717,139.4778,3500円〜8000円
日本料理 和楽,和食,四季を感じる会席料理。個室あり。,東京都小金井市本町9-9-9,true,11:30-14:30/17:00-21:30,火〜日,042-777-8888,https://example.com/waraku,35.7001,139.5037,3000円〜7000円
ガパオ食堂,タイ料理,バンコク出身シェフによる本格タイ料理。,東京都国立市中10-10-10,false,11:00-22:00,毎日,042-888-9999,,35.6838,139.4405,900円〜1500円
フォー ベトナム,ベトナム料理,あっさり醤油ベースのフォーが評判。,東京都小平市学園東町11-11-11,false,11:00-21:30,月〜土,042-999-0000,,35.7314,139.4941,800円〜1400円
バーガーラボ,ファストフード,オリジナルバンズのクラフトバーガー。,東京都西東京市田無町12-12-12,false,10:30-20:00,毎日,042-000-1111,,35.7273,139.5384,1200円〜1800円
